code,country,year,start,event_name,crisis_category,hazard_type,displaced
NPL,Nepal,2022,2022-02-04,Nepal: Storm - Madhesh (Bara/Mahagadhimai) - 04/02/2022,Weather related,Storm,4
MYS,Malaysia,2022,2022-03-22,Malaysia: Flood - Sabah - 22/03/2022,Weather related,Flood,48
IDN,Indonesia,2022,2022-02-01,Indonesia: Tornado - West Java (Bogor) - 01/02/2022,Weather related,Storm,4
NPL,Nepal,2022,2022-04-24,Nepal: Wildfire - Province No. 1 / Kosi (Khotang/Diprung Chuichumma) - 24/04/2022,Weather related,Wildfire,30
MWI,Malawi,2022,2022-03-11,"Mozambique, Malawi: Tropical Cyclone Gombe - 11/03/2022",Weather related,Storm,107000
MOZ,Mozambique,2022,2022-03-11,"Mozambique, Malawi: Tropical Cyclone Gombe - 11/03/2022",Weather related,Storm,24000
NPL,Nepal,2022,2022-02-04,Nepal: Storm - Madhesh (Sarlahi/Godaita) - 04/02/2022,Weather related,Storm,4
SYR,Syrian Arab Republic,2022,2022-01-01,"Syria: Snowstorms - Idlib, Aleppo - 01/01/2022",Weather related,Storm,1500
SYR,Syrian Arab Republic,2022,2022-01-01,"Syria:  Windstorm  - Aleppo, Idlib - 01/01/2022",Weather related,Storm,13000
AFG,Afghanistan,2022,2022-01-23,Afghanistan: Storm - Nangarhar (4 Districts) - 23/01/2022,Weather related,Storm,64
AFG,Afghanistan,2022,2022-01-10,Afghanistan: Drought - Nimroz (Chakhansur) - 10/01/2022,Weather related,Drought,2600
USA,United States,2022,2022-03-04,"USA: Wildfire (Bertha Swamp Road Fire) - Florida (Bay, Calhoun & Gulf Counties) - 04/03/2022",Weather related,Wildfire,6300
USA,United States,2022,2022-03-04,USA: Wildfire (Adkins Ave Fire) - Florida (Bay County) - 04/03/2022	,Weather related,Wildfire,2500
IDN,Indonesia,2022,2022-01-12,Indonesia: Flood - Central Sulawesi (Poso) - 12/01/2022,Weather related,Flood,8
IDN,Indonesia,2022,2022-03-17,Indonesia: Riverine flood - Central Sulawesi (Sigi) - 17/03/2022,Weather related,Flood,230
JPN,Japan,2022,2022-03-16,Japan: Earthquake - Fukushima - 16/03/2022,Geophysical,Earthquake,1700
USA,United States,2022,2022-03-06,USA: Wildfire (Star Ave Fire) - Florida (Bay County) - 06/03/2022	,Weather related,Wildfire,88
IDN,Indonesia,2022,2022-03-16,Indonesia: Riverine flood - Central Java (Banyumas) - 16/03/2022,Weather related,Flood,620
MOZ,Mozambique,2022,2022-01-24,Mozambique: Tropical Storm Ana - 24/01/2022,Weather related,Storm,89000
IDN,Indonesia,2022,2022-03-15,Indonesia: Flood - Central Java (Cilacap) - 15/03/2022,Weather related,Flood,420
AFG,Afghanistan,2022,2022-02-06,Afghanistan: Storm - Balkh (Mazari Sharif) - 06/02/2022,Weather related,Storm,72
MMR,Myanmar,2022,2022-02-22,Myanmar: Landslide -  Ayeyarwady (Pathein/Yekyi) - 22/02/2022,Weather related,Mass Movement,7
NPL,Nepal,2022,2022-03-26,Nepal: Wildfire - Madhesh (Siraha/Mirchaiya) -  26/03/2022,Weather related,Wildfire,13
AFG,Afghanistan,2022,2022-02-21,Afghanistan: Storm - Kunar (Nurgal) - 21/02/2022,Weather related,Storm,48
MYS,Malaysia,2022,2022-03-24,Malaysia: Storm - Selangor - 24/03/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-03-31,Indonesia: Landslide - Central Java (Cilacap) - 31/03/2022,Weather related,Mass Movement,180
IDN,Indonesia,2022,2022-04-02,Indonesia: Tornado - Central Java (Cilacap) - 02/04/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-03-31,Indonesia: Tornado - Bangka Belitung Islands (West Bangka) - 31/03/2022,Weather related,Storm,3
IDN,Indonesia,2022,2022-03-30,Indonesia: Tornado - South Sumatra (Muara Enim) - 30/03/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-03-26,Indonesia: Tornado - Bangka Belitung Islands (West Bangka) - 26/03/2022,Weather related,Storm,8
IDN,Indonesia,2022,2022-03-16,Indonesia: Tornado - Central Java (Kebumen) - 16/03/2022,Weather related,Storm,12
IDN,Indonesia,2022,2022-03-14,Indonesia: Flood - Central Java (Grobogan) - 14/03/2022,Weather related,Flood,1
IDN,Indonesia,2022,2022-03-05,Indonesia: Riverine flood - West Java (Cirebon) - 05/03/2022,Weather related,Flood,75
VNM,Vietnam,2022,2022-03-18,Viet Nam: Tornado - Gia Lai (Dak Doa) - 18/03/2022,Weather related,Storm,28
VNM,Vietnam,2022,2022-03-17,Viet Nam: Thunderstorm - Nghe An (Ky Son and Tuong Duong) - 17/03/2022,Weather related,Storm,9
MYS,Malaysia,2022,2022-05-22,Malaysia: Flood - Sabah - 22/05/2022,Weather related,Flood,32
IDN,Indonesia,2022,2022-01-17,Indonesia: Tornado - South Sumatra (Ogan Ilir) - 17/01/2022,Weather related,Storm,9
IDN,Indonesia,2022,2022-03-22,Indonesia: Riverine flood - South Kalimantan (Tapin) - 22/03/2022,Weather related,Flood,22
COD,"Congo, Dem. Rep.",2022,2022-02-01,DRC: Floods - South Kivu - February 2022,Weather related,Flood,2500
USA,United States,2022,2022-03-16,USA: Wildfire (Eastland Complex) - Texas (Eastland County) - 16/03/2022	,Weather related,Wildfire,1300
USA,United States,2022,2022-03-20,USA: Wildfire (Big L Fire) - Texas (Hood and Erath Counties) - 20/03/2022	,Weather related,Wildfire,490
MYS,Malaysia,2022,2022-03-31,Malaysia: Landslide - Selangor - 31/03/2022,Weather related,Mass Movement,14
USA,United States,2022,2022-03-05,USA: Wildfire (Cottonwood Complex) - Kansas (Reno and Harvey Counties) - 05/03/2022	,Weather related,Wildfire,350
VNM,Vietnam,2022,2022-03-22,Viet Nam: Thunderstorm - Lao Cai - 22/03/2022,Weather related,Storm,9
AFG,Afghanistan,2022,2022-02-24,Afghanistan: Storm - Takhar (Talugan) - 24/02/2022,Weather related,Storm,16
ZAF,South Africa,2022,2022-02-04,"South Africa: Floods - Gauteng, KwaZulu-Natal - 04/02/2022",Weather related,Flood,140
SYR,Syrian Arab Republic,2022,2022-04-01,"Syria: Floods - (Idlib, Aleppo) - 01/04/2022",Weather related,Flood,280
CHE,Switzerland,2022,2022-01-30,Switzerland: Wildfire - Ticino (Monte Gambarogno) - 30/01/2022,Weather related,Wildfire,45
ZAF,South Africa,2022,2022-02-18,South Africa: Floods - Gauteng - 18/02/2022,Weather related,Flood,190
VNM,Vietnam,2022,2022-03-30,Viet Nam: Thunderstorm - Phu Yen - 30/03/2022,Weather related,Storm,9
AGO,Angola,2022,2022-03-13,Angola: Flood - Kwanza Sul (Sumbe) - 13/03/2022,Weather related,Flood,270
NPL,Nepal,2022,2022-04-10,Nepal: Thunderstorm - Bagmati (Kathmandu/Kathmandu) - 10/04/2022,Weather related,Storm,4
CHN,China,2022,2022-04-06,China: Earthquake - Sichuan (Yibin City) - 06/04/2022,Geophysical,Earthquake,1000
VNM,Vietnam,2022,2022-03-28,Viet Nam: Thunderstorm - Dien Bien (Nam Po) - 28/03/2022,Weather related,Storm,9
VNM,Vietnam,2022,2022-03-28,Viet Nam: Landslide - Can Tho (O Mon) - 28/03/2022,Weather related,Mass Movement,19
ZMB,Zambia,2022,2022-01-29,Zambia: Floods - Copperbelt (Ndola) - 29/01/2022,Weather related,Flood,1000
LBN,Lebanon,2022,2022-03-01,Lebanon: Storm Greta - 01/03/2022,Weather related,Storm,13
IDN,Indonesia,2022,2022-04-13,Indonesia: Flood - South Sumatra (Banyu Asin) - 13/04/2022,Weather related,Flood,1600
